review_text,tags
"Kameranya luar biasa untuk foto malam hari, tapi daya tahan baterainya agak kurang.","#kamera, #foto_malam, #daya_tahan_baterai
"
"Pengirimannya super cepat, barang sampai dalam sehari. Packingnya juga aman banget.","#PengirimanCepat, #PackingAman, #LayananBaik
"
"Sellernya ramah dan responsif banget, semua pertanyaan dijawab. Barangnya juga original. Sesuai harga lah pokoknya.","#sellerramah, #barangoriginal, #sesuaiharga
"
"Kecewa, barang tidak sesuai deskripsi. Di gambar warnanya biru tua, yang datang biru muda. Bahannya juga terasa tipis.","#Kecewa, #WarnaTidakSesuaiDeskripsi, #BahanTipis
"
"Performanya kencang buat main game, lancar jaya. Layarnya juga jernih dan warnanya tajam, enak buat nonton film.","#performakencang, #layarjernih, #gaming
"
"Barang sampai dengan selamat, packingnya tebal pakai bubble wrap. Sayangnya ada sedikit lecet di bagian sudut, tapi nggak terlalu kelihatan.","#barangsampaisehat, #packingaman, #kecillecet
"
"Kualitas suaranya mantap, bass-nya terasa banget. Desainnya juga keren dan nyaman dipakai lama-lama.","#KualitasSuara, #Desain, #kenyamanan
"
"Sudah pengirimannya lama, pas sampai barangnya malah rusak tidak bisa menyala. Proses pengembalian dana juga ribet.","#pengirimanlama, #barangrusak, #pengembalianribet
"
Dengan harga segini dapat kualitas yang oke banget. Benar-benar worth it. Nggak nyesel belinya.,"#hargaTerjangkau, #produkBagus, #worthit
"
"Secara hardware bagus, tapi sistem operasinya banyak iklan dan bloatware. Agak mengganggu pengalaman pemakaian.","#HardwareBaik, #Bloatware, #IklanBerlebihan
"
