review_text
"Kameranya luar biasa untuk foto malam hari, tapi daya tahan baterainya agak kurang."
"Pengirimannya super cepat, barang sampai dalam sehari. Packingnya juga aman banget."
"Sellernya ramah dan responsif banget, semua pertanyaan dijawab. Barangnya juga original. Sesuai harga lah pokoknya."
"Kecewa, barang tidak sesuai deskripsi. Di gambar warnanya biru tua, yang datang biru muda. Bahannya juga terasa tipis."
"Performanya kencang buat main game, lancar jaya. Layarnya juga jernih dan warnanya tajam, enak buat nonton film."
"Barang sampai dengan selamat, packingnya tebal pakai bubble wrap. Sayangnya ada sedikit lecet di bagian sudut, tapi nggak terlalu kelihatan."
"Kualitas suaranya mantap, bass-nya terasa banget. Desainnya juga keren dan nyaman dipakai lama-lama."
"Sudah pengirimannya lama, pas sampai barangnya malah rusak tidak bisa menyala. Proses pengembalian dana juga ribet."
"Dengan harga segini dapat kualitas yang oke banget. Benar-benar worth it. Nggak nyesel belinya."
"Secara hardware bagus, tapi sistem operasinya banyak iklan dan bloatware. Agak mengganggu pengalaman pemakaian."
